Cycle,Length (mm)
1024,14.8121151310449
1025,14.8189099811635
1026,14.8257121397175
1027,14.8325216190583
1028,14.839338431529
1029,14.8461625894646
1030,14.8529941051916
1031,14.8598329910284
1032,14.8666792592849
1033,14.8735329222629
1034,14.8803939922561
1035,14.8872624815494
1036,14.89413840242
1037,14.9010217671366
1038,14.9079125879596
1039,14.9148108771413
1040,14.9217166469255
1041,14.9286299095482
1042,14.9355506772368
1043,14.9424789622106
1044,14.9494147766808
1045,14.9563581328504
1046,14.9633090429139
1047,14.9702675190582
1048,14.9772335734614
1049,14.984207218294
1050,14.9911884657181
1051,14.9981773278877
1052,15.0051738169487
1053,15.0121779450389
1054,15.0191897242882
1055,15.0262091668181
1056,15.0332362847424
1057,15.0402710901667
1058,15.0473135951885
1059,15.0543638118976
1060,15.0614217523756
1061,15.0684874286961
1062,15.0755608529251
1063,15.0826420371203
1064,15.0897309933318
1065,15.0968277336016
1066,15.1039322699641
1067,15.1110446144457
1068,15.1181647790651
1069,15.1252927758331
1070,15.132428616753
1071,15.13957231382
1072,15.1467238790221
1073,15.1538833243392
1074,15.1610506617437
1075,15.1682259032005
1076,15.1754090606668
1077,15.1826001460923
1078,15.1897991714191
1079,15.1970061485819
1080,15.2042210895079
1081,15.2114440061168
1082,15.218674910321
1083,15.2259138140255
1084,15.233160729128
1085,15.2404156675189
1086,15.2476786410812
1087,15.2549496616908
1088,15.2622287412164
1089,15.2695158915195
1090,15.2768111244546
1091,15.284114451869
1092,15.2914258856029
1093,15.2987454374896
1094,15.3060731193555
1095,15.3134089430199
1096,15.3207529202954
1097,15.3281050629875
1098,15.3354653828952
1099,15.3428338918106
1100,15.350210601519
1101,15.3575955237992
1102,15.3649886704232
1103,15.3723900531566
1104,15.3797996837584
1105,15.3872175739809
1106,15.3946437355702
1107,15.402078180266
1108,15.4095209198016
1109,15.4169719659039
1110,15.4244313302936
1111,15.4318990246854
1112,15.4393750607875
1113,15.4468594503023
1114,15.4543522049259
1115,15.4618533363487
1116,15.4693628562548
1117,15.4768807763227
1118,15.4844071082249
1119,15.4919418636283
1120,15.4994850541937
1121,15.5070366915767
1122,15.514596787427
1123,15.5221653533887
1124,15.5297424011006
1125,15.5373279421959
1126,15.5449219883025
1127,15.5525245510428
1128,15.5601356420343
1129,15.5677552728888
1130,15.5753834552135
1131,15.58302020061
1132,15.5906655206753
1133,15.5983194270011
1134,15.6059819311745
1135,15.6136530447776
1136,15.6213327793877
1137,15.6290211465775
1138,15.6367181579151
1139,15.6444238249639
1140,15.6521381592829
1141,15.6598611724267
1142,15.6675928759453
1143,15.6753332813847
